epoch,loss,lr,predictions_categorical_accuracy,predictions_loss,reconstruction_loss,val_loss,val_predictions_categorical_accuracy,val_predictions_loss,val_reconstruction_loss
0,0.4981049281939399,0.005,0.8074386,0.47975698,0.018349009,0.4633132577347,0.83447397,0.44736275,0.015950743
1,0.2678434501497596,0.005,0.89584696,0.25561306,0.0122303255,0.4207304349649546,0.8504808,0.40634567,0.0143848285
2,0.23961368048180492,0.005,0.905602,0.22876926,0.010843903,0.40759555857240887,0.8682975,0.3953612,0.012234428
3,0.22708786722754912,0.005,0.9102197,0.21705306,0.010035069,0.3047426606667527,0.88764143,0.29347816,0.01126452
4,0.21669728362919927,0.005,0.91373414,0.20726834,0.009429123,0.31049641386618443,0.8938348,0.29976857,0.010727972
5,0.20901996960841548,0.005,0.9161218,0.20005141,0.008968315,0.29792884221612326,0.8964932,0.28788608,0.010042448
6,0.20404532458233027,0.005,0.91827595,0.1954443,0.008601013,0.31852751048239647,0.8883484,0.30876622,0.00976114
7,0.1981506306233012,0.005,0.92026085,0.18985797,0.008292612,0.3036149752119817,0.89408934,0.29368487,0.0099302195
8,0.1945899688881799,0.005,0.9216094,0.18655288,0.0080369385,0.2942796274143107,0.8941742,0.28522018,0.009059414
9,0.1905925139726007,0.005,0.92261934,0.18277292,0.007819482,0.2793520960838816,0.9043269,0.27054706,0.008804972
10,0.18748745329917457,0.005,0.92442906,0.1798618,0.00762579,0.280474209380905,0.90039593,0.27166736,0.008806645
11,0.1828138582587977,0.005,0.9259878,0.17534968,0.0074642524,0.27320007551798586,0.9029695,0.26463655,0.008563792
